"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"7624",8,"Female",11,1983,"Black",8420,6,15000,5,4,120,4,4,TRUE
"7628",7,"Female",12,1982,"Black",24729,10,37000,5,5,110,6,8,TRUE
"7630",9,"Female",3,1980,"Hispanic",58587,9,30000,5,6,140,4,6,TRUE
"7631",6,"Female",10,1981,"Black",39893,8,19000,5,2,174,6,6,FALSE
"7632",7,"Female",7,1982,"Black",90772,6,6500,5,2,145,6,4,FALSE
"7633",7,"Female",10,1984,"Black",10666,8,4000,5,10,160,3,7,FALSE
"7637",5,"Female",11,1980,"Black",950,7,12000,5,5,180,6,5,FALSE
"7638",6,"Male",12,1981,"Black",25682,7,18000,6,2,267,4,6,TRUE
"7643",6,"Female",7,1982,"Hispanic",11229,8,33000,5,2,207,1,8,TRUE
"7644",8,"Female",11,1982,"Black",11716,8,22000,5,8,215,4,5,FALSE
"7645",8,"Male",6,1981,"Black",65843,8,43000,5,9,199,6,6,TRUE
"7649",6,"Female",12,1983,"Black",1284,5,21275,5,5,162,6,7,FALSE
"7654",8,"Male",9,1983,"Hispanic",14733,8,31000,5,11,215,6,8,TRUE
"7655",7,"Male",4,1983,"Hispanic",6724,5,27000,5,10,170,3,6,TRUE
"7658",8,"Female",9,1980,"Hispanic",3927,5,15000,5,4,250,3,8,FALSE
"7662",7,"Female",7,1980,"Black",69876,9,28000,5,0,150,6,7,TRUE
"7663",5,"Female",4,1983,"Black",67974,9,15000,4,11,115,6,5,FALSE
"7687",7,"Male",11,1984,"Black",7295,9,10000,5,9,180,2,4,FALSE
"7688",6,"Female",8,1981,"Black",39163,5,14000,5,3,144,4,6,FALSE
"7690",8,"Female",10,1980,"Black",34105,10,45000,5,3,200,3,4,TRUE
"7694",8,"Female",1,1980,"Black",16961,7,10000,5,5,235,6,7,TRUE
"7696",6,"Female",1,1983,"Black",16696,5,4500,5,0,135,3,5,TRUE
"7699",6,"Male",1,1982,"Black",50289,7,14000,6,0,225,1,7,FALSE
"7705",7,"Female",3,1983,"Black",11254,8,10000,5,5,240,6,6,TRUE
"7707",6,"Female",4,1982,"Black",2079,10,22000,5,4,146,4,6,FALSE
"7710",4,"Male",8,1980,"Black",10800,6,18000,5,9,270,3,6,FALSE
"7712",6,"Male",4,1984,"Black",5967,8,550,5,11,175,4,6,TRUE
"7713",5,"Female",2,1984,"Black",10906,10,16000,5,4,350,2,6,TRUE
"7715",6,"Female",3,1981,"Black",78704,8,30000,5,3,190,6,6,FALSE
"7716",6,"Male",10,1983,"Black",1998,6,10000,5,11,142,6,5,FALSE
"7718",9,"Female",12,1982,"Black",14901,7,7000,5,10,160,3,8,TRUE
"7721",8,"Male",6,1981,"Black",5994,8,8500,5,10,200,2,7,TRUE
"7722",7,"Male",5,1981,"Black",43386,10,31000,5,7,132,3,7,FALSE
"7732",7,"Female",3,1982,"Black",26820,9,26000,5,5,220,6,8,TRUE
