"","HrsSleep2009","Sex","BdayMonth","YearBorn","Ethnicity","ASVAB","LifeSat2008","Income2008","HeightFt2010","HeightIn2010","Weight2010","Computer2010","HrsSleep2010","Cohab2009"
"1448",5,"Male",8,1980,"Non-Black / Non-Hispanic",41118,8,60000,5,9,160,6,5,TRUE
"1449",8,"Female",9,1981,"Non-Black / Non-Hispanic",100000,9,35600,5,7,130,6,8,TRUE
"1451",6,"Male",3,1983,"Hispanic",55649,10,54000,5,9,165,6,7,TRUE
"1452",7,"Female",11,1981,"Non-Black / Non-Hispanic",97528,10,53405,5,1,137,6,7,TRUE
"1453",8,"Female",4,1981,"Non-Black / Non-Hispanic",98512,7,30000,5,6,120,4,7,FALSE
"1454",8,"Male",10,1983,"Non-Black / Non-Hispanic",96269,8,40000,6,0,190,6,7,TRUE
"1455",8,"Male",4,1980,"Non-Black / Non-Hispanic",80160,8,35000,5,10,180,6,8,TRUE
"1456",7,"Male",3,1983,"Non-Black / Non-Hispanic",98996,9,57675,6,1,202,6,7,FALSE
"1459",7,"Male",4,1984,"Non-Black / Non-Hispanic",98598,9,121993,6,3,170,6,7,FALSE
"1461",8,"Female",10,1984,"Non-Black / Non-Hispanic",95589,7,45000,5,6,140,6,8,TRUE
"1462",7,"Male",5,1980,"Non-Black / Non-Hispanic",96579,5,10000,6,1,185,6,8,FALSE
"1465",5,"Female",1,1982,"Black",76560,4,75000,5,4,110,6,6,FALSE
"1467",5,"Male",12,1981,"Black",53755,8,65000,6,0,150,6,7,FALSE
"1468",8,"Male",5,1984,"Black",13078,10,40000,6,0,130,3,7,FALSE
"1469",9,"Female",10,1982,"Black",28346,7,12000,5,0,314,1,4,FALSE
"1472",6,"Male",12,1983,"Black",73874,7,57500,6,0,218,6,7,FALSE
"1475",8,"Female",4,1981,"Black",42197,7,5000,5,9,187,3,8,FALSE
"1476",7,"Female",12,1983,"Black",34832,8,16000,5,7,175,3,8,FALSE
"1483",6,"Male",8,1980,"Non-Black / Non-Hispanic",81152,8,40000,5,8,155,6,7,FALSE
"1484",7,"Male",4,1983,"Non-Black / Non-Hispanic",49125,8,48000,5,9,170,3,6,FALSE
"1486",8,"Female",5,1981,"Non-Black / Non-Hispanic",88479,10,55000,5,6,180,6,8,TRUE
"1487",5,"Male",4,1980,"Non-Black / Non-Hispanic",83245,7,32000,5,10,155,6,5,TRUE
"1488",7,"Female",12,1982,"Non-Black / Non-Hispanic",45820,7,20000,5,3,107,1,8,TRUE
"1490",6,"Male",5,1982,"Non-Black / Non-Hispanic",95156,8,70000,5,10,195,6,7,TRUE
"1492",7,"Male",9,1983,"Non-Black / Non-Hispanic",94937,7,43000,5,8,173,6,8,FALSE
"1493",8,"Female",12,1980,"Non-Black / Non-Hispanic",62784,4,25000,5,5,123,5,8,FALSE
"1494",7,"Female",6,1980,"Non-Black / Non-Hispanic",86973,7,10000,5,3,125,6,8,FALSE
"1495",11,"Female",12,1981,"Non-Black / Non-Hispanic",96589,9,14500,5,1,155,5,8,TRUE
"1496",8,"Female",8,1982,"Non-Black / Non-Hispanic",86558,9,78000,5,5,140,6,7,TRUE
"1497",7,"Female",6,1984,"Non-Black / Non-Hispanic",54621,9,200,5,5,130,4,8,TRUE
"1498",7,"Female",8,1980,"Non-Black / Non-Hispanic",81561,6,47000,5,7,160,6,8,FALSE
"1499",4,"Female",10,1982,"Black",38089,9,39900,5,4,190,6,4,TRUE
"1503",6,"Female",10,1983,"Non-Black / Non-Hispanic",59316,4,15000,5,5,130,3,6,TRUE
"1504",6,"Male",11,1984,"Hispanic",33987,9,0,5,6,150,6,7,TRUE
"1509",6,"Male",8,1980,"Non-Black / Non-Hispanic",32868,10,48000,5,9,200,4,7,TRUE
"1510",5,"Female",1,1982,"Non-Black / Non-Hispanic",57619,8,15000,5,7,210,2,6,FALSE
"1511",6,"Female",5,1984,"Non-Black / Non-Hispanic",7928,5,10000,5,5,215,4,5,TRUE
"1512",8,"Female",5,1984,"Non-Black / Non-Hispanic",29258,7,14000,5,5,220,3,8,FALSE
"1514",6,"Male",8,1980,"Mixed Race (Non-Hispanic)",67222,5,47000,5,6,189,6,7,TRUE
"1515",7,"Female",11,1980,"Hispanic",20795,10,45000,5,4,160,2,7,TRUE
"1516",4,"Female",5,1983,"Hispanic",34318,7,30000,5,3,156,4,7,TRUE
"1518",6,"Male",2,1984,"Mixed Race (Non-Hispanic)",88443,9,121993,6,0,187,6,5,FALSE
"1521",7,"Male",2,1982,"Mixed Race (Non-Hispanic)",99296,8,32000,6,2,185,6,7,TRUE
"1523",6,"Female",9,1981,"Black",88163,8,121993,5,6,185,6,4,FALSE
"1524",5,"Male",12,1980,"Black",67730,8,75000,6,3,198,6,6,TRUE
"1529",8,"Male",5,1980,"Non-Black / Non-Hispanic",72907,6,45000,6,4,300,6,7,TRUE
"1530",7,"Female",5,1983,"Non-Black / Non-Hispanic",71025,10,46000,5,9,169,6,8,TRUE
"1531",6,"Male",9,1982,"Non-Black / Non-Hispanic",52592,3,0,6,0,240,6,9,FALSE
"1532",7,"Female",3,1982,"Non-Black / Non-Hispanic",67837,9,50000,5,6,128,6,7,TRUE
"1533",7,"Female",5,1980,"Non-Black / Non-Hispanic",25157,8,3000,5,2,97,2,6,FALSE
"1534",7,"Male",12,1982,"Non-Black / Non-Hispanic",22468,9,10977,5,8,135,3,6,FALSE
"1540",6,"Female",11,1984,"Non-Black / Non-Hispanic",83145,7,19000,5,2,120,6,7,FALSE
"1541",8,"Female",11,1983,"Hispanic",27830,9,20000,5,0,106,6,8,TRUE
"1542",7,"Female",7,1982,"Non-Black / Non-Hispanic",81827,8,45000,5,2,160,6,5,TRUE
"1543",7,"Female",5,1984,"Non-Black / Non-Hispanic",87534,7,12000,5,0,142,6,8,TRUE
"1549",7,"Female",7,1982,"Non-Black / Non-Hispanic",67914,9,43300,5,6,148,6,8,TRUE
"1550",7,"Female",5,1980,"Non-Black / Non-Hispanic",53892,9,40000,5,3,160,6,7,FALSE
"1551",8,"Male",10,1984,"Non-Black / Non-Hispanic",64106,8,30000,6,1,215,6,8,TRUE
"1555",8,"Male",6,1983,"Black",49520,7,8000,6,1,260,6,8,FALSE
"1556",8,"Female",6,1984,"Black",63525,7,0,5,6,204,4,7,FALSE
"1558",5,"Male",2,1982,"Non-Black / Non-Hispanic",27378,8,27000,5,2,165,3,7,TRUE
"1559",6,"Male",1,1984,"Hispanic",50201,8,33000,5,5,145,4,5,FALSE
"1562",8,"Male",5,1983,"Black",32802,8,23000,5,11,175,6,8,TRUE
"1568",7,"Male",9,1981,"Hispanic",60506,8,30000,5,5,155,6,7,TRUE
"1569",8,"Female",12,1982,"Hispanic",39541,9,15000,4,10,110,6,8,TRUE
"1571",7,"Male",5,1981,"Non-Black / Non-Hispanic",62972,9,28000,5,9,155,6,7,TRUE
"1572",7,"Female",6,1983,"Non-Black / Non-Hispanic",85962,10,36000,5,7,130,6,7,TRUE
"1573",5,"Female",11,1981,"Non-Black / Non-Hispanic",52683,7,12000,5,1,115,2,8,TRUE
"1576",6,"Male",6,1981,"Non-Black / Non-Hispanic",38641,6,20000,5,10,240,4,7,TRUE
"1578",8,"Male",4,1980,"Black",10849,5,8000,5,9,185,3,8,TRUE
"1580",6,"Female",1,1980,"Non-Black / Non-Hispanic",54430,7,14000,5,5,200,6,8,FALSE
"1584",6,"Male",3,1983,"Hispanic",4667,7,600,5,6,135,3,6,TRUE
"1585",7,"Female",6,1982,"Non-Black / Non-Hispanic",74731,8,28000,5,8,210,6,7,TRUE
"1586",8,"Female",1,1984,"Non-Black / Non-Hispanic",56240,6,13400,5,6,150,6,8,TRUE
"1587",8,"Male",9,1981,"Hispanic",63213,8,15000,5,6,165,6,8,FALSE
"1590",8,"Female",3,1981,"Non-Black / Non-Hispanic",91740,8,58000,5,7,179,6,9,TRUE
"1598",8,"Female",1,1982,"Hispanic",19482,5,19000,5,6,237,4,6,FALSE
"1608",4,"Female",7,1982,"Non-Black / Non-Hispanic",54438,5,40000,5,10,126,4,4,FALSE
"1616",6,"Male",9,1980,"Non-Black / Non-Hispanic",88521,4,11400,6,0,320,6,7,FALSE
"1618",6,"Male",4,1984,"Non-Black / Non-Hispanic",67504,10,65000,5,9,175,6,6,TRUE
"1620",7,"Female",10,1984,"Mixed Race (Non-Hispanic)",80619,9,121993,5,7,140,5,8,FALSE
"1621",7,"Male",1,1983,"Non-Black / Non-Hispanic",100000,9,65000,6,3,180,6,7,FALSE
"1622",8,"Female",1,1984,"Non-Black / Non-Hispanic",87782,10,121993,5,8,130,6,8,TRUE
"1625",8,"Male",3,1982,"Non-Black / Non-Hispanic",71904,7,40000,5,6,185,6,6,FALSE
"1627",7,"Female",6,1982,"Non-Black / Non-Hispanic",100000,5,23000,5,9,150,5,7,FALSE
"1628",6,"Female",8,1981,"Non-Black / Non-Hispanic",92749,7,41000,5,8,150,6,7,FALSE
"1630",9,"Male",3,1984,"Non-Black / Non-Hispanic",76600,6,12000,5,8,195,6,7,FALSE
"1631",7,"Female",4,1980,"Non-Black / Non-Hispanic",90989,6,32000,5,3,130,6,7,FALSE
"1632",7,"Female",5,1984,"Non-Black / Non-Hispanic",83880,8,30000,5,7,120,3,7,FALSE
"1637",7,"Female",1,1984,"Non-Black / Non-Hispanic",72761,7,40000,5,3,117,5,9,TRUE
"1639",7,"Female",8,1983,"Non-Black / Non-Hispanic",11486,8,36000,5,8,165,6,6,TRUE
"1640",7,"Female",11,1983,"Non-Black / Non-Hispanic",84037,7,50000,5,6,120,6,7,FALSE
"1642",8,"Female",3,1981,"Non-Black / Non-Hispanic",77446,7,121993,5,0,200,6,6,TRUE
"1643",7,"Male",10,1981,"Non-Black / Non-Hispanic",81674,9,34000,5,10,160,6,7,TRUE
"1644",6,"Male",4,1982,"Non-Black / Non-Hispanic",44674,8,30000,6,2,220,2,5,TRUE
"1647",7,"Male",2,1981,"Non-Black / Non-Hispanic",52657,8,48000,6,0,150,4,7,TRUE
"1652",5,"Male",3,1980,"Non-Black / Non-Hispanic",84828,8,83000,5,11,225,6,5,TRUE
"1657",5,"Male",12,1982,"Hispanic",30872,8,39500,6,2,240,6,7,TRUE
"1664",7,"Male",12,1981,"Non-Black / Non-Hispanic",29184,2,13000,6,0,174,6,5,FALSE
"1665",8,"Male",10,1984,"Non-Black / Non-Hispanic",58937,1,13000,5,7,130,6,10,FALSE
"1667",7,"Female",9,1981,"Non-Black / Non-Hispanic",97307,7,46000,5,5,127,6,7,TRUE
"1670",7,"Female",12,1983,"Non-Black / Non-Hispanic",81439,10,55000,5,4,130,5,5,TRUE
"1671",4,"Female",11,1982,"Non-Black / Non-Hispanic",68524,5,22000,5,6,220,4,4,TRUE
"1674",10,"Male",5,1980,"Non-Black / Non-Hispanic",62494,7,121993,6,0,235,6,7,TRUE
"1676",8,"Male",12,1983,"Non-Black / Non-Hispanic",79779,8,34000,6,2,215,6,8,FALSE
"1678",8,"Female",4,1982,"Non-Black / Non-Hispanic",89719,7,25000,5,6,165,6,8,FALSE
"1680",7,"Female",5,1980,"Non-Black / Non-Hispanic",35171,9,121993,5,9,128,6,8,TRUE
"1688",8,"Female",12,1983,"Non-Black / Non-Hispanic",18473,9,23000,5,7,180,1,5,TRUE
"1690",7,"Male",9,1981,"Non-Black / Non-Hispanic",82197,9,35000,5,10,215,6,7,TRUE
"1691",6,"Male",10,1984,"Non-Black / Non-Hispanic",57315,9,20000,6,0,175,3,7,TRUE
"1692",8,"Male",5,1982,"Non-Black / Non-Hispanic",93284,8,59000,5,8,164,6,7,TRUE
"1693",8,"Male",11,1984,"Non-Black / Non-Hispanic",89436,10,25000,5,10,170,5,7,TRUE
"1694",8,"Male",5,1983,"Non-Black / Non-Hispanic",53148,8,45000,5,10,160,6,8,FALSE
"1698",7,"Male",8,1982,"Non-Black / Non-Hispanic",12621,9,55000,5,10,185,6,6,TRUE
"1699",7,"Male",5,1984,"Non-Black / Non-Hispanic",27137,10,43000,5,11,213,4,6,TRUE
"1702",7,"Male",7,1982,"Non-Black / Non-Hispanic",67243,7,29000,6,1,145,4,7,TRUE
"1713",7,"Male",2,1981,"Non-Black / Non-Hispanic",3248,9,70000,6,0,200,3,8,FALSE
"1717",7,"Female",1,1983,"Hispanic",14999,6,26000,5,1,186,6,8,TRUE
"1731",8,"Female",11,1981,"Non-Black / Non-Hispanic",57012,9,25000,5,10,266,1,8,TRUE
"1733",9,"Male",3,1980,"Non-Black / Non-Hispanic",67524,9,70000,6,1,180,2,10,TRUE
"1737",8,"Female",10,1982,"Non-Black / Non-Hispanic",33271,9,17000,5,7,230,6,5,TRUE
"1742",7,"Male",11,1983,"Non-Black / Non-Hispanic",26271,8,45000,6,2,223,6,6,TRUE
"1743",6,"Female",5,1984,"Non-Black / Non-Hispanic",43797,5,30000,5,4,140,6,6,FALSE
"1744",6,"Male",10,1982,"Non-Black / Non-Hispanic",11047,8,47850,5,11,266,6,6,TRUE
"1750",7,"Female",6,1983,"Non-Black / Non-Hispanic",90154,7,121993,5,8,170,6,7,TRUE
"1751",8,"Male",1,1980,"Non-Black / Non-Hispanic",83275,7,24000,5,10,225,6,8,TRUE
"1753",6,"Male",6,1980,"Non-Black / Non-Hispanic",93563,9,75000,6,0,225,6,7,TRUE
"1755",6,"Male",3,1983,"Non-Black / Non-Hispanic",65276,8,32000,5,8,150,6,7,TRUE
"1763",7,"Male",2,1983,"Non-Black / Non-Hispanic",72076,2,10000,5,9,230,4,7,TRUE
"1764",6,"Male",5,1982,"Non-Black / Non-Hispanic",58786,5,15000,5,2,143,3,6,FALSE
"1766",6,"Male",3,1980,"Black",21099,5,10000,5,11,245,6,8,TRUE
"1767",6,"Female",8,1981,"Black",53349,6,42000,5,7,180,6,6,FALSE
"1768",5,"Male",5,1981,"Hispanic",27185,7,25000,5,10,250,3,5,FALSE
"1770",8,"Female",7,1982,"Non-Black / Non-Hispanic",93809,8,24000,5,4,195,6,8,TRUE
"1771",8,"Female",12,1984,"Non-Black / Non-Hispanic",62018,9,34000,5,2,145,6,7,TRUE
"1774",7,"Female",2,1980,"Non-Black / Non-Hispanic",77830,7,1500,6,0,225,6,8,TRUE
"1775",8,"Male",10,1981,"Non-Black / Non-Hispanic",17409,9,18000,6,2,240,6,6,TRUE
"1776",8,"Male",3,1983,"Non-Black / Non-Hispanic",49034,8,41000,6,2,175,6,7,TRUE
"1777",10,"Male",12,1984,"Non-Black / Non-Hispanic",31027,7,58000,6,1,157,5,9,TRUE
"1781",7,"Female",4,1981,"Non-Black / Non-Hispanic",54214,10,30000,5,7,240,4,7,TRUE
"1782",7,"Female",1,1983,"Non-Black / Non-Hispanic",82943,8,4500,5,2,110,6,8,FALSE
"1784",5,"Female",9,1980,"Black",31446,5,28000,5,4,180,6,5,FALSE
"1785",6,"Male",8,1984,"Black",10632,10,32000,5,7,185,3,6,TRUE
"1788",7,"Male",5,1980,"Black",1295,5,4500,6,2,230,6,5,FALSE
"1789",7,"Male",1,1982,"Black",19362,6,13000,6,0,170,6,7,TRUE
"1791",8,"Female",3,1983,"Black",26292,9,20000,5,2,144,6,8,TRUE
"1792",8,"Male",3,1983,"Black",14599,10,7000,5,10,234,3,6,TRUE
"1795",9,"Male",8,1983,"Non-Black / Non-Hispanic",44904,10,37000,6,4,220,4,8,TRUE
"1802",6,"Female",4,1983,"Non-Black / Non-Hispanic",92562,7,17250,5,6,170,3,7,FALSE
"1803",6,"Male",2,1984,"Black",49511,9,48000,5,6,142,6,6,TRUE
"1805",7,"Male",7,1981,"Non-Black / Non-Hispanic",78616,10,39420,5,10,214,6,6,TRUE
"1807",5,"Male",11,1981,"Non-Black / Non-Hispanic",92454,8,5500,5,10,235,6,6,TRUE
"1808",6,"Male",7,1983,"Non-Black / Non-Hispanic",64358,9,68000,6,1,285,6,7,FALSE
"1809",5,"Male",10,1984,"Non-Black / Non-Hispanic",26230,8,10000,6,2,280,6,5,FALSE
"1810",7,"Female",8,1983,"Non-Black / Non-Hispanic",78293,5,33000,5,8,180,6,6,FALSE
"1811",7,"Male",6,1981,"Non-Black / Non-Hispanic",26850,7,20000,6,1,225,6,6,TRUE
"1812",7,"Female",4,1983,"Non-Black / Non-Hispanic",13662,9,20000,5,6,170,4,7,TRUE
"1813",7,"Male",8,1980,"Non-Black / Non-Hispanic",51759,8,37000,5,8,145,5,7,TRUE
"1814",6,"Male",8,1980,"Hispanic",27256,7,32000,5,10,190,2,6,TRUE
"1815",8,"Male",4,1983,"Non-Black / Non-Hispanic",67046,9,34000,6,3,300,6,7,TRUE
"1817",7,"Male",7,1981,"Non-Black / Non-Hispanic",34967,7,60000,6,1,215,6,7,TRUE
"1818",6,"Male",4,1981,"Non-Black / Non-Hispanic",81111,6,22000,6,0,230,3,6,TRUE
"1822",6,"Female",12,1982,"Non-Black / Non-Hispanic",76073,10,37000,5,4,178,4,6,TRUE
"1823",7,"Male",6,1984,"Non-Black / Non-Hispanic",70724,5,35000,5,9,178,6,7,FALSE
"1824",7,"Male",10,1981,"Non-Black / Non-Hispanic",85409,7,47380,6,0,189,6,7,TRUE
"1825",6,"Male",1,1982,"Non-Black / Non-Hispanic",52930,8,80000,6,1,215,6,6,TRUE
"1827",6,"Female",3,1983,"Non-Black / Non-Hispanic",77983,4,44000,5,7,147,6,7,FALSE
"1828",7,"Male",11,1980,"Non-Black / Non-Hispanic",84631,8,40000,6,1,190,6,7,TRUE
"1829",5,"Male",9,1983,"Non-Black / Non-Hispanic",56505,8,30000,6,4,195,6,6,TRUE
"1831",4,"Female",10,1983,"Non-Black / Non-Hispanic",39234,7,0,5,3,130,6,5,FALSE
"1832",7,"Male",12,1983,"Non-Black / Non-Hispanic",15403,7,22000,5,8,195,6,6,FALSE
"1835",8,"Female",3,1981,"Non-Black / Non-Hispanic",71068,9,43000,5,3,160,6,7,TRUE
"1836",8,"Male",5,1981,"Non-Black / Non-Hispanic",85466,5,6000,5,10,185,4,5,TRUE
"1837",8,"Female",8,1980,"Black",85899,10,40000,5,3,127,6,8,TRUE
"1838",8,"Female",11,1982,"Black",99655,8,70000,5,3,130,6,7,FALSE
"1843",6,"Male",5,1983,"Black",22994,7,5000,5,9,170,6,6,TRUE
"1847",6,"Male",2,1980,"Black",26059,8,32500,6,2,207,6,6,FALSE
"1849",6,"Male",5,1982,"Black",22172,9,35000,6,3,260,4,6,FALSE
"1851",9,"Male",5,1981,"Black",72455,9,46489,6,1,210,6,8,TRUE
"1852",8,"Male",3,1980,"Non-Black / Non-Hispanic",33875,9,32000,5,6,180,3,6,TRUE
"1855",8,"Male",3,1984,"Non-Black / Non-Hispanic",89855,7,53272,6,2,150,6,7,TRUE
"1856",8,"Female",9,1981,"Non-Black / Non-Hispanic",98740,8,121993,5,6,135,6,8,TRUE
"1858",8,"Female",2,1980,"Non-Black / Non-Hispanic",96727,9,0,5,7,145,6,7,TRUE
"1860",7,"Female",10,1984,"Non-Black / Non-Hispanic",83526,10,10000,5,7,140,6,7,TRUE
"1862",6,"Female",4,1981,"Non-Black / Non-Hispanic",72828,8,35880,5,4,135,6,6,TRUE
"1863",5,"Female",2,1981,"Non-Black / Non-Hispanic",5094,8,24000,5,7,250,3,6,TRUE
"1865",6,"Male",9,1982,"Mixed Race (Non-Hispanic)",23042,8,50000,5,9,165,3,5,FALSE
"1866",6,"Male",11,1984,"Mixed Race (Non-Hispanic)",4562,7,49000,5,10,225,3,6,TRUE
"1867",6,"Male",5,1983,"Mixed Race (Non-Hispanic)",67733,8,3200,5,10,175,6,5,TRUE
"1870",7,"Male",12,1981,"Hispanic",12042,7,22000,5,11,150,1,6,FALSE
"1871",10,"Male",3,1980,"Non-Black / Non-Hispanic",61196,8,60000,5,10,210,1,8,TRUE
"1872",5,"Female",6,1982,"Non-Black / Non-Hispanic",57322,8,50000,5,5,160,6,7,TRUE
"1877",8,"Male",11,1983,"Non-Black / Non-Hispanic",12847,7,50000,6,2,200,3,7,TRUE
"1878",7,"Female",5,1982,"Non-Black / Non-Hispanic",72197,8,35000,5,3,110,6,7,TRUE
"1880",7,"Male",1,1981,"Non-Black / Non-Hispanic",85935,7,10000,6,1,260,6,7,TRUE
"1881",8,"Female",6,1984,"Non-Black / Non-Hispanic",46586,8,5000,5,4,130,3,8,TRUE
"1884",6,"Male",2,1984,"Non-Black / Non-Hispanic",47733,7,78000,5,10,170,6,5,FALSE
"1886",8,"Male",2,1984,"Non-Black / Non-Hispanic",78908,8,13000,5,9,250,6,7,TRUE
"1891",9,"Female",6,1982,"Non-Black / Non-Hispanic",65215,7,30000,5,11,290,6,9,TRUE
"1893",6,"Male",3,1983,"Non-Black / Non-Hispanic",13667,9,30000,5,10,230,5,7,TRUE
"1894",7,"Male",1,1982,"Non-Black / Non-Hispanic",72640,9,0,5,9,175,5,8,TRUE
"1895",8,"Female",5,1982,"Non-Black / Non-Hispanic",91477,8,1500,5,11,140,6,7,TRUE
"1896",8,"Female",10,1984,"Non-Black / Non-Hispanic",79084,7,3000,5,7,120,6,8,TRUE
"1898",6,"Female",7,1983,"Non-Black / Non-Hispanic",64721,8,32000,5,6,215,6,6,TRUE
"1901",7,"Female",6,1981,"Non-Black / Non-Hispanic",58928,8,30000,5,5,130,6,7,FALSE
"1902",8,"Male",2,1983,"Hispanic",71435,9,46000,5,10,165,6,8,TRUE
"1903",7,"Male",3,1981,"Non-Black / Non-Hispanic",71440,9,42000,6,3,220,6,6,TRUE
"1906",7,"Female",5,1981,"Non-Black / Non-Hispanic",69209,7,19000,5,6,130,4,8,TRUE
"1907",9,"Female",12,1984,"Non-Black / Non-Hispanic",78704,7,26000,5,7,140,6,8,TRUE
"1908",7,"Male",6,1980,"Non-Black / Non-Hispanic",12099,8,34000,5,10,230,2,7,TRUE
"1910",8,"Female",9,1982,"Non-Black / Non-Hispanic",75007,6,1200,5,8,160,5,8,TRUE
"1911",5,"Female",10,1981,"Non-Black / Non-Hispanic",19044,4,5000,5,4,148,6,6,TRUE
"1912",8,"Male",10,1980,"Hispanic",85375,10,36000,6,2,360,6,7,TRUE
"1914",7,"Female",5,1983,"Non-Black / Non-Hispanic",74732,8,25000,5,2,120,6,7,TRUE
"1916",7,"Male",7,1982,"Non-Black / Non-Hispanic",89639,9,25000,6,3,280,6,6,TRUE
"1917",9,"Male",12,1983,"Non-Black / Non-Hispanic",72831,10,25000,6,0,180,6,8,TRUE
"1919",8,"Female",6,1983,"Non-Black / Non-Hispanic",69511,9,4000,5,3,230,6,8,TRUE
"1921",8,"Female",10,1981,"Non-Black / Non-Hispanic",91969,8,50000,5,10,150,6,8,TRUE
"1923",7,"Male",5,1980,"Non-Black / Non-Hispanic",32697,8,41000,5,10,220,6,8,TRUE
"1927",5,"Male",11,1983,"Hispanic",36119,4,19000,6,0,318,6,5,FALSE
"1930",8,"Female",8,1981,"Non-Black / Non-Hispanic",89801,8,57000,5,9,160,6,6,TRUE
"1931",7,"Male",12,1981,"Non-Black / Non-Hispanic",98824,6,59800,6,0,210,6,7,TRUE
"1932",8,"Female",3,1981,"Non-Black / Non-Hispanic",31742,10,46000,5,4,187,6,8,TRUE
"1933",8,"Male",10,1980,"Non-Black / Non-Hispanic",1217,7,7500,5,7,235,6,8,TRUE
"1935",7,"Male",9,1980,"Hispanic",77544,3,38000,5,10,190,6,7,TRUE
"1936",7,"Male",10,1981,"Hispanic",25044,8,25000,5,8,235,4,7,TRUE
"1937",7,"Female",8,1981,"Hispanic",8747,10,2100,5,2,250,1,8,TRUE
"1938",6,"Female",8,1982,"Hispanic",40541,10,13000,5,1,115,5,5,TRUE
"1939",6,"Female",12,1980,"Hispanic",9380,5,5200,5,4,171,3,7,FALSE
"1940",7,"Female",9,1983,"Hispanic",7670,8,17000,5,2,167,6,6,TRUE
"1941",8,"Male",6,1981,"Non-Black / Non-Hispanic",67000,6,30000,5,10,180,6,8,TRUE
"1942",6,"Male",9,1984,"Non-Black / Non-Hispanic",70219,7,5000,6,0,220,2,7,FALSE
"1945",7,"Female",4,1983,"Non-Black / Non-Hispanic",38691,9,30000,5,4,175,3,5,TRUE
"1947",6,"Male",2,1983,"Black",23068,9,45000,5,7,150,3,6,TRUE
"1951",8,"Female",8,1982,"Hispanic",11105,8,17000,5,0,135,2,9,TRUE
"1954",6,"Female",7,1982,"Black",25968,5,10850,5,4,100,6,3,FALSE
"1957",6,"Female",3,1980,"Black",37804,8,50000,5,3,215,6,7,TRUE
"1961",6,"Male",4,1984,"Non-Black / Non-Hispanic",49263,8,75000,6,1,180,6,5,TRUE
"1964",8,"Male",6,1981,"Hispanic",12588,7,33000,5,9,225,6,8,FALSE
"1965",7,"Male",2,1981,"Hispanic",33299,9,40000,5,8,200,1,7,TRUE
"1966",7,"Male",9,1983,"Hispanic",19745,8,35000,5,8,215,3,7,TRUE
"1967",7,"Female",11,1984,"Hispanic",54080,8,38000,5,9,170,3,7,TRUE
"1968",6,"Male",11,1984,"Mixed Race (Non-Hispanic)",95947,7,20000,6,4,175,3,6,TRUE
"1969",7,"Female",2,1980,"Black",33133,8,15120,5,7,134,6,8,TRUE
"1970",4,"Female",2,1983,"Black",31251,7,27000,5,7,120,6,4,FALSE
"1972",6,"Male",10,1984,"Non-Black / Non-Hispanic",79781,8,8000,5,11,195,1,5,TRUE
"1973",8,"Male",1,1982,"Hispanic",91215,8,23000,6,5,218,6,7,TRUE
"1974",4,"Male",12,1984,"Hispanic",26572,8,28000,6,1,170,3,5,TRUE
"1980",8,"Male",6,1983,"Hispanic",72269,9,26000,5,11,203,6,8,TRUE
"1983",6,"Male",11,1980,"Non-Black / Non-Hispanic",79554,9,65000,5,9,200,6,8,TRUE
"1988",8,"Male",3,1980,"Hispanic",65402,8,38089,5,9,165,6,8,FALSE
"1992",7,"Male",12,1984,"Non-Black / Non-Hispanic",89773,8,7000,5,11,170,6,6,FALSE
"1993",8,"Female",3,1980,"Non-Black / Non-Hispanic",43292,5,24000,5,5,126,6,8,TRUE
"1994",8,"Male",8,1982,"Non-Black / Non-Hispanic",87225,7,25000,6,2,180,6,8,FALSE
"2000",7,"Female",10,1983,"Non-Black / Non-Hispanic",42665,8,24000,5,5,243,3,8,TRUE
"2001",8,"Male",5,1983,"Non-Black / Non-Hispanic",25598,10,35000,5,9,200,6,4,TRUE
"2004",7,"Male",5,1982,"Non-Black / Non-Hispanic",94797,9,65000,6,0,197,6,7,TRUE
"2008",6,"Male",1,1984,"Non-Black / Non-Hispanic",34266,9,17000,6,2,155,2,7,FALSE
"2013",8,"Female",5,1981,"Black",1723,5,2000,5,7,118,1,8,FALSE
"2014",7,"Female",5,1981,"Black",10172,8,25000,5,2,130,1,3,FALSE
"2015",8,"Female",10,1981,"Black",71305,10,34000,5,0,140,6,6,FALSE
"2016",6,"Male",7,1981,"Black",25863,8,24000,5,8,200,1,7,FALSE
"2017",6,"Male",8,1981,"Black",10803,7,28000,5,9,150,3,5,FALSE
"2018",5,"Female",1,1983,"Black",29400,5,15000,5,7,180,2,5,FALSE
"2025",8,"Female",3,1981,"Non-Black / Non-Hispanic",81228,7,37500,5,8,120,6,8,TRUE
"2026",8,"Female",5,1983,"Non-Black / Non-Hispanic",65556,7,25000,5,5,120,4,7,TRUE
"2027",7,"Male",1,1984,"Non-Black / Non-Hispanic",66898,8,30000,6,0,150,3,6,FALSE
"2028",6,"Male",11,1980,"Black",67068,10,51000,6,0,150,5,4,TRUE
"2030",3,"Male",1,1984,"Black",22339,6,20000,6,4,335,1,4,TRUE
"2033",7,"Male",12,1981,"Non-Black / Non-Hispanic",82494,7,60000,6,1,195,6,5,TRUE
"2034",7,"Female",2,1984,"Black",57980,5,750,5,3,199,3,4,FALSE
"2035",4,"Male",12,1980,"Hispanic",10835,8,75000,6,0,235,6,6,FALSE
